state_code,municipality_code,risk_prediction
2,6,-0.6901032654029225
4,12,0.7649057971585953
5,0,0.7748344903258988
7,125,0.7402600201998023
17,34,0.4365280562315031
17,35,1.284292668347499
17,36,0.8181148863387518
20,47,0.8064795065235981
20,106,0.8084758728363347
20,147,0.7293836007936796
20,155,1.1518831886778493
20,215,0.7034813188024985
20,267,0.9234979403566912
20,281,0.6140214695855494
20,341,0.7533567016311958
20,430,0.8811250552489472
20,488,0.7364527642146506
20,518,0.9021932541561708
20,536,0.7430908863890204
20,538,0.9021932541561708
20,556,0.6535112420121792
